NOM_IRIS;NE_ID;Date;Duree;Type;volume_nuitee;total_volume_nuitee;sum_vol_nuitee_per_date_com;mean_com_vol_nuitee
Saint-Sornin-Leulac;918688;2023-12-14;Inf30min;Etranger;21.0;4838216.0;21.0;26.0
Saint-Sornin-Leulac;918688;2023-12-15;Inf30min;Etranger;31.0;4838216.0;31.0;26.0
Saint-Sornin-Leulac;918688;2024-01-11;Inf30min;Etranger;23.0;4838216.0;23.0;26.0
Saint-Sornin-Leulac;918688;2024-01-12;Inf30min;Etranger;21.0;4838216.0;21.0;26.0
Saint-Sornin-Leulac;918688;2024-01-18;Inf30min;Etranger;32.0;4838216.0;32.0;26.0
Saint-Sornin-Leulac;918688;2024-01-23;Inf30min;Etranger;28.0;4838216.0;28.0;26.0
Bessines-sur-Gartempe;901666;2024-01-18;Inf30min;Etranger;31.0;4838216.0;31.0;27.5
Bessines-sur-Gartempe;901666;2024-01-23;Inf30min;Etranger;24.0;4838216.0;24.0;27.5
Razès;937435;2024-01-24;Inf30min;Etranger;24.0;4838216.0;24.0;24.0
Rilhac-Rancon;944857;2024-01-25;Inf30min;Etranger;44.0;4838216.0;44.0;44.0
Zone Industrielle Nord;946504;2023-12-19;Inf30min;Etranger;57.0;4838216.0;57.0;33.857142857142854
Zone Industrielle Nord;946504;2023-12-29;Inf30min;Etranger;24.0;4838216.0;24.0;33.857142857142854
Zone Industrielle Nord;946504;2024-01-04;Inf30min;Etranger;41.0;4838216.0;41.0;33.857142857142854
Zone Industrielle Nord;946504;2024-01-12;Inf30min;Etranger;26.0;4838216.0;26.0;33.857142857142854
Zone Industrielle Nord;946504;2024-01-16;Inf30min;Etranger;22.0;4838216.0;22.0;33.857142857142854
Zone Industrielle Nord;946504;2024-01-18;Inf30min;Etranger;24.0;4838216.0;24.0;33.857142857142854
Zone Industrielle Nord;946504;2024-01-23;Inf30min;Etranger;43.0;4838216.0;43.0;33.857142857142854
Nord;915038;2023-12-01;Inf30min;Etranger;27.0;4838216.0;27.0;27.0
Ouest;916421;2023-12-09;Inf30min;Etranger;22.0;4838216.0;22.0;22.0
Villebougis;902717;2024-01-15;Inf30min;Etranger;20.0;4838216.0;20.0;20.0
Collemiers;910871;2023-12-26;Inf30min;National;27.0;4838216.0;27.0;27.0
Évry;912335;2023-12-09;Inf30min;National;27.0;4838216.0;27.0;27.0
Bransles;923617;2023-12-22;Inf30min;Etranger;60.0;4838216.0;60.0;60.0
Chevannes;915327;2023-12-14;Inf30min;Etranger;45.0;4838216.0;45.0;45.0
Pierre-Perthuis;906848;2023-12-26;Inf30min;National;37.0;4838216.0;37.0;37.0
Coutarnoux;905004;2023-12-12;Inf30min;Etranger;26.0;4838216.0;26.0;26.0
Montholon;941699;2023-12-01;Inf30min;National;21.0;4838216.0;21.0;21.0
Cudot;906723;2023-12-06;Inf30min;Etranger;23.0;4838216.0;23.0;36.5
Cudot;906723;2024-01-05;Inf30min;Etranger;50.0;4838216.0;50.0;36.5
Épineau-les-Voves;907871;2023-12-21;Inf30min;Etranger;20.0;4838216.0;20.0;20.0
Lindry;900677;2024-01-01;Inf30min;National;30.0;4838216.0;30.0;30.0
Sainte-Geneviève;936199;2023-12-25;Sup3h;National;27.0;4838216.0;27.0;27.0
Tournelle-Saint-Gervais-Plattes;946258;2023-12-27;Inf30min;National;36.0;4838216.0;36.0;36.0
Perrigny;913598;2023-12-01;Inf30min;National;28.0;4838216.0;28.0;28.5
Perrigny;913598;2023-12-02;Inf30min;National;29.0;4838216.0;29.0;28.5
Perrigny;913598;2023-12-26;Inf30min;National;25.0;4838216.0;25.0;28.5
Perrigny;913598;2023-12-29;Inf30min;National;32.0;4838216.0;32.0;28.5
Quenne;909798;2024-01-04;Inf30min;Etranger;24.0;4838216.0;24.0;24.0
Annay-sur-Serein;920783;2023-12-26;Inf30min;National;20.0;4838216.0;20.0;20.0
Guillon-Terre-Plaine;900110;2023-12-02;Inf30min;National;23.0;4838216.0;23.0;23.0
La Morlande;901684;2023-12-08;Inf30min;National;31.0;4838216.0;31.0;31.0
Champignol-lez-Mondeville;942473;2023-12-08;Inf30min;Etranger;31.0;4838216.0;31.0;31.0
